,imdb_id,rotten_tomatoes_id,omdb_plot,Polarity_full_string
5921,tt0082474,m/great_muppet_caper,"Kermit and Fozzie are newspaper reporters sent to London to interview Lady Holiday, a wealthy fashion designer whose priceless diamond necklace is stolen. Kermit meets and falls in love with her secretary, Miss Piggy. The jewel thieves strike again, and this time frame Miss Piggy. It's up to Kermit and Muppets to bring the real culprits to justice.",0.55
5938,tt2674430,m/approaching_the_unknown,"Captain William Stanaforth is on a one-way solo mission to take the first steps in colonizing Mars. Like all pioneers throughout history, Stanaforth will face insurmountable odds and life and death decisions as he rockets bravely through space.",0.525
6297,tt0020531,m/laurel_and_hardy_unaccustomed_as_we_are,"Oliver invites his friend Stanley over for a nice home-cooked meal, but Mrs. Hardy wants nothing to do with it and walks out. Mrs. Kennedy, Oliver's beautiful neighbor from across the hall,...",0.5499999999999999
6309,tt0279111,m/gods_and_generals,"The rise and fall of legendary war hero Thomas ""Stonewall"" Jackson as he leads the Confederacy to great success against the Union from 1861 to 1863.",0.7000000000000001
6411,tt0112679,m/circle_of_friends,"'Circle Of Friends' is set in 1950's Ireland. The movie focuses on Benny Hogan and her best friend, Eve Malone. The story centers around Benny and Eve as they enter student life at University College, Dublin. Here Benny and Eve reunite with their childhood friend, the ice-cool Nan Mahon, the 'college belle'. They also encounter the handsome and charming Jack Foley, whom Benny quickly falls for.",0.6333333333333334
6426,tt2314824,m/behaving_badly_2014,"18 year old Rick Stevens is willing to do whatever it takes to win the heart of Nina Pennington. In his quest to land the girl of his dreams, he has to contend with her psycho ex, his best friends horny mother, a manic strip club manager, a perverted principal, a lecherous priest, his suicidal mother, and a patron saint with a camel toe. No one ever said love was easy.",0.5138888888888888
6499,tt1532530,m/almayers_folly_2012,"A tale of an occidental merchant, Kaspar Almayer, whose dreams of riches for his beloved daughter, Nina, collapse under the weight of his own greed and prejudice.",0.6499999999999999
6506,tt0934706,m/superman_doomsday,"When LexCorps accidentally unleash a murderous creature, Doomsday, Superman meets his greatest challenge as a champion. Based on the ""The Death of Superman"" storyline that appeared in DC Comics' publications in the 1990s.",1.0
6721,tt2051818,m/alls_well_ends_well_2012,Four men go on a heroic mission to help four women and wind up experiencing a series of mishaps.,0.7
6779,tt0368226,m/room,"In San Francisco, we follow Johnny, a man who has a girlfriend, Lisa, and also his best friend, Mark. Lisa has been cheating on Johnny with Mark and Johnny doesn't know! Will Johnny ever find out? Will Mark still be Johnny's best friend?",1.0
6877,tt1553156,m/pax_americana_and_the_weaponization_of_space,"When a war starts in space, can anyone really win?",0.8
7224,tt0111658,m/walker_texas_ranger_deadly_reunion,"An experienced member of Texas Rangers, a special police unit, arrives to compete in a pistol shooting tournament, but so does a hitman who's planing to assassinate a US senator who will be among the spectators.",0.5785714285714286
7299,tt0047162,m/last_time_i_saw_paris,"Charles returns to Paris to reminisce about the life he led in Paris after it was liberated. He worked on ""Stars and Stripes"" when he met Marion and Helen. He would marry and be happy staying in Paris after his discharge and working for a news organization. He would try to write his great novel and that would come between Charlie, his wife and his daughter.",0.8
7598,tt1101026,m/770807905,"Admiral Aleksandr Kolchak is a true war hero and beloved husband and father. Anna, the wife of his best friend, becomes the love of his life. The revolution in his heart mirrors the revolution in his own country. His destiny is to fight the Bolsheviks and bring back the Czarist rule.",0.525
7647,tt2069984,m/zlatna_levica_prica_o_radivoju_koracu,"A semi-documentary about Radivoj Korac, one of the best basketball players who ever lived.",1.0
7942,tt1633356,m/shark_night_3d,"When 7 college friends pack their swim suits for a weekend of fun-in-the-sun activities at their friend Sara's lake house, they think it will be the perfect vacation. But the tables immediately turn when the lead football star, Malik, gets his arm ripped off during a water skiing accident. While the friends are to believe his wound was a freak accident, they soon come to discover that there was a primal attack involving a shark. Now while they think that one shark is no problem, they soon come to the realization that 15 species of sharks are lurking in the water, and with no form of boat or transportation, and no signals for phone's, the group of seven now face a fate they would never imagine. They soon learn that they don't know who to trust or who to turn to for help!",1.0
7982,tt0109096,m/amelia_earhart_the_final_flight,A telling of the story of the famous U.S. aviatrix Amelia Earhart who attempted to fly solo around the world in 1937. She disappeared during the process.,0.65
8034,tt0366920,m/1136501-pride_and_prejudice,"Elizabeth Bennet is a hard-working, intelligent college student who won't even think about marriage until she graduates. But when she meets Jack Wickham, a good-looking playboy, and Darcy, a sensible businessman, Elizabeth's determination is put to the test. Will she see through their exteriors and discover their true intentions? Based on Jane Austen's timeless tale Pride and Prejudice, Bestboy Pictures presents a comedy about love, life and feminine persuasion.",0.5499999999999999
8036,tt0075436,m/won_ton_ton_the_dog_who_saved_hollywood,"In 1924 Estie comes to Hollywood to become an actress, but the dog, that followed her becomes the star. But Hollywood has its own rules of sucess.",0.6
8114,tt1666642,m/revenge_of_the_bridesmaids,"When Abigail and Parker return from New York City to visit their home town, they discover that their best friend Rachel is a bridesmaid in the wedding of their childhood friend, Caitlyn, and Tony, who was Rachel's boyfriend until Caitlyn interfered. Abigail and Parker decide to run some interference of their own. They manipulate Caitlyn and become bridesmaids as well so that they and Rachel can sabotage the wedding from the inside. With help from a police detective who happens to be a groomsman, the girls strive to ruin Caitlyn's wedding while dodging her controlling mother and hopefully reuniting Tony and Rachel.",0.5787878787878787
8134,tt2178927,m/alpha_girls_2013,Alpha Girls is about a Sorority House terrorized by an unholy curse of their own creation.,0.6
8170,tt1762300,m/one_life_2011,"Focuses on the cyclical journey taken by all living creatures, from birth to having youngsters of their own.",0.6
8328,tt0154263,m/bugs_bunnys_looney_christmas_tales,"Bugs Bunny and the others looney tunes show their own version of ""A Christmas Carol"" In addition coyote still chasing road runner",0.6
8400,tt2491500,m/lultima_ruota_del_carro,"The life of a sub-proletarian boy in Rome through the Seventies and Eighties, choosing his own path with his lifetimes friends and family.",0.6
8483,tt0064708,m/my_side_of_the_mountain,"Sam, a brilliant child, leaves home for the mountains after being told that the family summer trip has been canceled, thus preventing him from doing the algae experiments he had planned for that summer. The film chronicles his struggle for independence, and with the forces of natures.",0.9
8739,tt0862748,m/lupin_iii,"The grandson of a legendary gentleman burglar assembles a team of thieves to steal a Cleopatran necklace from two parties - an ally-turned-rival, and an underworld tycoon.",1.0
8741,tt0932533,m/job-czyli-ostatnia-szara-komorka,"The film is a set of many popular jokes, and also a story of three friends - Adi, Pele and Chemik, who experience many adventures.",0.5333333333333333
8858,tt0052817,m/for_the_first_time,The brilliance of one of the world's most beloved tenors and the exciting world of opera highlight this delightful romantic adventure set in the most beautiful cities of Europe. Tonio Costa...,0.55
8895,tt0049023,m/el_bolero_de_raquel,The film tells an episode of the life of a kindly hearted bootblack who becomes accidentally the tutor of an orphan but nevertheless spends all his time and effort for the sake of the boy.,0.6
8996,tt0055807,m/1002877-bon_voyage,"The Willards from Terre Haute, Indiana, travels abroad for a once-in-a-lifetime vacation in Paris, France. Harry Willard believes that the greatest problem will be avoiding tap water, but bringing his three children will prove to be more troublesome.",0.75
9008,tt0087763,m/10009445-my_brothers_wedding,A man who despises his upwardly mobile lawyer brother reluctantly agrees to be best man at his wedding.,1.0
9277,tt0025809,m/something_always_happens,Unemployed car salesman Peter is encouraged by his girlfriend Cynthia to approach the head of a petrol company with his plan for making petrol stations more attractive to customers. When ...,0.65
9281,tt5333882,m/a_trip_to_unicorn_island,"Lilly Singh, YouTube's iisuperwomanii brings her happy place to life in an ambitious 27 city world tour where she hand delivers an inspirational message to her 7+ million fans while ...",0.5166666666666667
9337,tt2287214,m/dark_prince,"In his search for the Lightbringer, Dracula crosses paths with a beautiful crusader named Alina who bears a remarkable resemblance to his murdered bride. One look at her and Dracula is immediately smitten. Could Alina be the reincarnation of his long-dead love? Dracula has Alina kidnapped and brought to his castle where the Beast must now try to win his Beauty's heart.",0.7250000000000001
9413,tt0113541,m/kids_of_the_round_table,"Eleven-year-old Alex and his fellow homemade heroes are having a backyard blast. Battles rage, knights fight and damsels distress in a cardboard Camelot of dirt-bike steeds, aluminum foil sabres and plastic armor. The summer fun and fantasy soon become a marvelous, mystical reality with the touch of a sword. Malcolm McDowell, Michael Ironside and bright newcomer Johnny Morina star in a modern-day adventure filled with medieval magic. One fateful afternoon, Alex comes across a sword sunk in stone - King Arthur's legendary Excalibur! The sword holds untold powers of strength, magic and wisdom. With one motion, Alex frees the sword, Merlin the Magician appears, and Alex discovers the awesome power he'd always dreamed about. But to misuse Excalibur is to lose Excalibur... as Alex soon discovers. Now with Merlin vanished, Alex must prove himself worthy of the sword to bring back the magic. He'd better act fast - his friends need his power now more than ever!",0.5038888888888889
9548,tt0040666,m/maniacs_on_wheels,"A factory worker is fired from a reliable job and becomes a successful motorbike racer, until his wife threatens to leave him unless he comes to his senses. Produced by Ian Dalrymple. Written by Jack Lee.",0.75
